0|[{'ime': 'Milan', 'prezime': 'Lazarevic'}]|103|False|2023-01-12 22:13:54||{'uloga': 'korisnik', 'korisnicko_ime': 'nevena51', 'lozinka': 'nekalozinka', 'ime': 'Nevena', 'prezime': 'Trifunovic', 'email': 'trifunovic.1@gmail.com', 'pasos': '746352836', 'drzavljanstvo': 'srbin', 'telefon': '0647263849', 'pol': 'Z'}|F50|nerealizovana_karta
1|[{'ime': 'Milan', 'prezime': 'Lazarevic'}]|127|False|2023-01-12 22:14:02||{'uloga': 'korisnik', 'korisnicko_ime': 'nevena51', 'lozinka': 'nekalozinka', 'ime': 'Nevena', 'prezime': 'Trifunovic', 'email': 'trifunovic.1@gmail.com', 'pasos': '746352836', 'drzavljanstvo': 'srbin', 'telefon': '0647263849', 'pol': 'Z'}|E40|nerealizovana_karta
2|[{'ime': 'Milan', 'prezime': 'Simic'}]|142|False|2023-01-13 11:54:40|{'uloga': 'prodavac', 'korisnicko_ime': 'petar412', 'lozinka': 'lozinkaa', 'ime': 'Petar', 'prezime': 'Petrovic', 'email': 'perapera2@gmail.com', 'pasos': '873627255', 'drzavljanstvo': 'bosanac', 'telefon': '0683655267', 'pol': 'M'}|{'ime': 'Nikola', 'prezime': 'Petrovic', 'telefon': '062435442', 'email': 'niko.la@gmail.com', 'uloga': 'neregistrovan_korisnik'}||nerealizovana_karta
3|[{'ime': 'David', 'prezime': 'Prusac'}]|149|False|2023-01-13 20:58:38||{'uloga': 'korisnik', 'korisnicko_ime': 'sakii', 'lozinka': 'sarasaki', 'ime': 'Sara', 'prezime': 'Ristic', 'email': 'sakisaki@gmail.com', 'pasos': '', 'drzavljanstvo': '', 'telefon': '063526273', 'pol': ''}|A30|nerealizovana_karta
4|[{'uloga': 'prodavac', 'korisnicko_ime': 'stefke', 'lozinka': 'stefke123', 'ime': 'Stefan', 'prezime': 'Milenkovic', 'email': 'steefke.4@gmail.com', 'pasos': '847362766', 'drzavljanstvo': 'srpsko', 'telefon': '0645362711', 'pol': 'M'}, {'ime': 'Teodora', 'prezime': 'Petrusic'}]|300|True|2023-01-14 13:55:12|{'uloga': 'prodavac', 'korisnicko_ime': 'stefke', 'lozinka': 'stefke123', 'ime': 'Stefan', 'prezime': 'Milenkovic', 'email': 'steefke.4@gmail.com', 'pasos': '847362766', 'drzavljanstvo': 'srpsko', 'telefon': '0645362711', 'pol': 'M'}|{'ime': 'Vuk', 'prezime': 'Peric', 'telefon': '0673527384', 'email': 'vuke@gmail.com', 'uloga': 'neregistrovan_korisnik'}||nerealizovana_karta
5|[{'uloga': 'korisnik', 'korisnicko_ime': 'filip21', 'lozinka': 'abcdefg', 'ime': 'Filip', 'prezime': 'Milić', 'email': 'filip.101@gmail.com', 'pasos': '574637289', 'drzavljanstvo': 'Srbin', 'telefon': '0636255182', 'pol': 'M'}]|401|False|2023-01-14 20:17:36|{'uloga': 'prodavac', 'korisnicko_ime': 'petar56', 'lozinka': 'petarpetar', 'ime': 'Petar', 'prezime': 'Petrovic', 'email': 'peraabrat@gmail.com', 'pasos': '756473829', 'drzavljanstvo': 'crnogorac', 'telefon': '0638765545', 'pol': 'M'}|{'uloga': 'korisnik', 'korisnicko_ime': 'filip21', 'lozinka': 'abcdefg', 'ime': 'Filip', 'prezime': 'Milić', 'email': 'filip.101@gmail.com', 'pasos': '574637289', 'drzavljanstvo': 'Srbin', 'telefon': '0636255182', 'pol': 'M'}||nerealizovana_karta
6|[{'uloga': 'korisnik', 'korisnicko_ime': 'filip21', 'lozinka': 'abcdefg', 'ime': 'Filip', 'prezime': 'Milić', 'email': 'filip.101@gmail.com', 'pasos': '574637289', 'drzavljanstvo': 'Srbin', 'telefon': '0636255182', 'pol': 'M'}]|414|False|2023-01-14 20:17:51|{'uloga': 'prodavac', 'korisnicko_ime': 'petar56', 'lozinka': 'petarpetar', 'ime': 'Petar', 'prezime': 'Petrovic', 'email': 'peraabrat@gmail.com', 'pasos': '756473829', 'drzavljanstvo': 'crnogorac', 'telefon': '0638765545', 'pol': 'M'}|{'uloga': 'korisnik', 'korisnicko_ime': 'filip21', 'lozinka': 'abcdefg', 'ime': 'Filip', 'prezime': 'Milić', 'email': 'filip.101@gmail.com', 'pasos': '574637289', 'drzavljanstvo': 'Srbin', 'telefon': '0636255182', 'pol': 'M'}||nerealizovana_karta
7|[{'uloga': 'korisnik', 'korisnicko_ime': 'luka55', 'lozinka': 'lozinkaluka', 'ime': 'Luka', 'prezime': 'Popovic', 'email': 'lukaa.1@gmail.com', 'pasos': '647363546', 'drzavljanstvo': 'srpsko', 'telefon': '064873647', 'pol': 'M'}]|422|False|2023-01-18 12:12:28|{'uloga': 'prodavac', 'korisnicko_ime': 'stefke', 'lozinka': 'stefke123', 'ime': 'Stefan', 'prezime': 'Milenkovic', 'email': 'steefke.4@gmail.com', 'pasos': '847362766', 'drzavljanstvo': 'srpsko', 'telefon': '0645362711', 'pol': 'M'}|{'uloga': 'korisnik', 'korisnicko_ime': 'luka55', 'lozinka': 'lozinkaluka', 'ime': 'Luka', 'prezime': 'Popovic', 'email': 'lukaa.1@gmail.com', 'pasos': '647363546', 'drzavljanstvo': 'srpsko', 'telefon': '064873647', 'pol': 'M'}|A35|nerealizovana_karta
8|[{'uloga': 'korisnik', 'korisnicko_ime': 'nevena', 'lozinka': 'nevena123', 'ime': 'Nevena', 'prezime': 'Zivanovic', 'email': 'nevena.z@gmail.com', 'pasos': '463546278', 'drzavljanstvo': 'srpsko', 'telefon': '0694307155', 'pol': 'Z'}]|422|False|2023-01-18 12:36:24||{'uloga': 'korisnik', 'korisnicko_ime': 'nevena', 'lozinka': 'nevena123', 'ime': 'Nevena', 'prezime': 'Zivanovic', 'email': 'nevena.z@gmail.com', 'pasos': '463546278', 'drzavljanstvo': 'srpsko', 'telefon': '0694307155', 'pol': 'Z'}|D36|nerealizovana_karta
9|[{'uloga': 'korisnik', 'korisnicko_ime': 'nekoneko', 'lozinka': 'neko', 'ime': 'Milovan', 'prezime': 'Peric', 'email': 'miloooovan@gmail.com', 'pasos': '847364738', 'drzavljanstvo': 'srpsko', 'telefon': '0647362712', 'pol': 'M'}, {'ime': 'Veljko', 'prezime': 'Petrovic'}, {'ime': 'Nikola', 'prezime': 'Petrovic'}]|392|False|2023-01-19 09:33:38||{'uloga': 'korisnik', 'korisnicko_ime': 'nekoneko', 'lozinka': 'neko', 'ime': 'Milovan', 'prezime': 'Peric', 'email': 'miloooovan@gmail.com', 'pasos': '847364738', 'drzavljanstvo': 'srpsko', 'telefon': '0647362712', 'pol': 'M'}|D40|nerealizovana_karta
10|[{'uloga': 'korisnik', 'korisnicko_ime': 'nekoneko', 'lozinka': 'neko', 'ime': 'Milovan', 'prezime': 'Peric', 'email': 'miloooovan@gmail.com', 'pasos': '847364738', 'drzavljanstvo': 'srpsko', 'telefon': '0647362712', 'pol': 'M'}, {'ime': 'Veljko', 'prezime': 'Petrovic'}, {'ime': 'Nikola', 'prezime': 'Petrovic'}]|405|False|2023-01-19 09:34:06||{'uloga': 'korisnik', 'korisnicko_ime': 'nekoneko', 'lozinka': 'neko', 'ime': 'Milovan', 'prezime': 'Peric', 'email': 'miloooovan@gmail.com', 'pasos': '847364738', 'drzavljanstvo': 'srpsko', 'telefon': '0647362712', 'pol': 'M'}|D40|nerealizovana_karta
11|[{'ime': 'Sofija', 'prezime': 'Glisic', 'telefon': '067463526', 'email': 'sofi.ja@gmail.com', 'uloga': 'neregistrovan_korisnik'}, {'ime': 'Teodora', 'prezime': 'Dragic'}]|392|False|2023-01-19 10:41:27|{'uloga': 'prodavac', 'korisnicko_ime': 'petar56', 'lozinka': 'petarpetar', 'ime': 'Petar', 'prezime': 'Petrovic', 'email': 'peraabrat@gmail.com', 'pasos': '756473829', 'drzavljanstvo': 'crnogorac', 'telefon': '0638765545', 'pol': 'M'}|{'ime': 'Sofija', 'prezime': 'Glisic', 'telefon': '067463526', 'email': 'sofi.ja@gmail.com', 'uloga': 'neregistrovan_korisnik'}|A20|nerealizovana_karta
